"neutral,normal"
"neutral,mobile "
"neutral, #Facebook or #Twitter?"
"neutral, awfully early!"
"neutral,whatsApp"
"neutral,offer"
"neutral,registrtation"
"neutral,west idies"
"neutral,india"
"neutral,training"
"neutral,sanpdeal"
"neutral,i want a gionne m5 mobile plz send details about it"
"neutral,normal  When will you announce LeEco day winner of 25 Feb????????"
"neutral,I just finished a 2.66 mi run with a pace of 11'14""/mi with Nike+ GPS. #nikeplus #makeitcount"
"neutral,Good night #Twitter and #TheLegionoftheFallen.  5:45am cimes awfully early!"
"neutral,travelling"
"neutral,mi run pace #nikeplus"
"negative,fraud"
"negative,fraudulent"
"negative,stupid"
"negative,idiot"
"negative,duplicate stop"
"negative,fool fooling"
"negative,disapointed"
"negative,damage"
"negative,cheater"
"negative,wrong different"
"negative,asshole fuck"
"negative,order number refund delay"
"negative,slow loading"
"negative,disaster"
"positive,good"
"positive,tnx"
"positive,best"
"positive,saved money time"
"positive,thanks tnx thank you"
"positive,love"
"positive,very good"
"positive,delivery is ontime"
"positive,awesome"
